"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"SW1";"SW_SPST_FSMSM";1;"RESET";;;
2;"U1";"F-6888";1;"F-6888";;;
3;"JP1";"SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm";1;"Jumper_NC_Dual";;;
4;"J1";"USB_A";1;"USB_A";;;
5;"PJ-327A2";"3.5mm_stereo_jack_PJ3026";1;"CONN_6";;;
6;"R3";"R_0805_HandSoldering";1;"1k2";;;
7;"PJ-327A1";"PJ-327A";1;"CONN_6";;;
8;"C1,C2";"C_1206_HandSoldering";2;"1uF";;;
9;"C3";"C_0805_HandSoldering";1;"100p";;;
10;"C4,C5";"CP_Elec_4x5.3";2;"CP";;;
11;"D1,D2";"LED_1206_HandSoldering";2;"LED";;;
12;"J2";"Pin_Header_Straight_1x20_Pitch2.54mm";1;"CONN_01X20";;;
13;"J3";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"MIC";;;
14;"J6";"Conn_uSDcard";1;"Micro_SD_Card_Det";;;
15;"R1";"R_0805_HandSoldering";1;"10k";;;
16;"R2,R4,R5,R6";"R_0805_HandSoldering";4;"1k";;;
17;"R7";"R_0805_HandSoldering";1;"3k3";;;
18;"SW2";"SW_SPST_FSMSM";1;"PREV/VOL-";;;
19;"SW3";"SW_SPST_FSMSM";1;"NEXT/VOL+";;;
20;"SW4";"SW_SPST_FSMSM";1;"P.P/CALL";;;
21;"SW5";"SW_SPST_FSMSM";1;"MODE";;;
22;"D3";"MELF_Handsoldering";1;"D";;;
23;"J4";"Pin_Header_Straight_1x21_Pitch2.54mm";1;"CONN_01X20";;;
